integer INTEGER
real REAL
boolean BOOLEAN
of OF
array ARRAY
start START
end END
declare DECLARE
module MODULE
driver DRIVER
program PROGRAM
get_value GET_VALUE
print PRINT
use USE
with WITH
parameters PARAMETERS
true TRUE
false FALSE
takes TAKES
input INPUT
returns RETURNS
AND AND
OR OR
for FOR
in IN
switch SWITCH
case CASE
break BREAK
default DEFAULT
while WHILE
